ID,Severity,Category,Title,File,Line(s),Description,Impact,Recommended Fix,Estimated Effort Hours
C-1,CRITICAL,Security - Authorization,Tenant Isolation Bypass via Header Injection,backend/src/middleware/tenantContext.js,3-7,"Users can specify arbitrary x-tenant-id headers to access other tenants' data, bypassing JWT claims","Complete data isolation breach; users access competitors' invoices, configurations, and audit logs","Remove header override in tenantContext middleware. Use only JWT claims (req.auth?.tenantId). Validate tenantId exists and user belongs to tenant",2
C-2,CRITICAL,Security - API Abuse,N8N Extraction Webhook No Authentication,backend/src/routes/invoices.js,15-17,"N8N webhooks are unauthenticated. Any attacker can trigger fake extraction results, marking invoices as extracted without actual OCR","Malicious extraction results injected; fake GL postings; invoice audit trail corrupted; financial records compromised","Implement HMAC signature validation on N8N webhook payloads. Add timestamp validation (prevent replay attacks). Separate webhook routes from authenticated API. Add rate limiting per tenant/invoice",4
C-3,CRITICAL,Validation - Authorization,Missing TenantId Validation in Bulk Upload,backend/src/services/invoicesService.js,550-565,"bulkUpload() accepts null/empty tenantId, bypassing access control checks downstream","Files uploaded without tenant binding; cross-tenant file leakage; users bypass auth","Add validation: if (!context?.tenantId) throw createError('Tenant context required', 400, 'VALIDATION_ERROR')",1
C-4,CRITICAL,Security - Path Traversal,File Path Traversal Vulnerability,backend/src/services/invoicesService.js,581,"path.join() doesn't prevent ../ sequences in paths if incomingPath is compromised. Attacker can read/write arbitrary files on server","Read/write arbitrary files on server; complete filesystem compromise","Validate resolved path stays within root: const basePath = path.resolve(incomingPath); const fullPath = path.resolve(basePath, storedName); if (!fullPath.startsWith(basePath)) throw error",3
C-5,CRITICAL,Error Handling - Observability,N8N Fire-and-Forget Promise Rejection Silent Failure,backend/src/services/invoicesService.js,630-658,"Extraction failures are silent-logged to console. If process exits/crashes, webhook delivery is lost forever. No retry queue","Invoices stuck in EXTRACTING state indefinitely; silent data loss; no alerting to operators; extraction failures undetected","Implement queue-based N8N delivery with retries. Store webhook delivery attempts in database. Async retry worker processes queue every 5min. Log all failures to persistent store",6
C-6,CRITICAL,Resource Management - DB Leaks,Database Connection Leak on Transaction Rollback Failure,backend/src/db/pool.js + repositories/*,varies,"Connection pool not explicitly managed in error paths. If client.query('ROLLBACK') fails, connection not released properly","Connection pool exhaustion after a few errors; subsequent requests hang; database becomes unreachable; application DoS","Implement proper try/finally/catch block: finally { try { client.release(); } catch (e) { client.end().catch(() => {}); } }",4
C-7,CRITICAL,Data Validation,Null Pointer on Invoice ID Extraction,backend/src/services/invoicesService.js,166-180,"Missing null checks on context object. If context is malformed (missing tenantId), subsequent DB queries fail with unhandled TypeError","Unhandled exception crashes request handler; potential DoS vector; 500 errors on user requests","Add validation: const tenantId = requireTenantId(context?.tenantId); const branchId = requireBranchId(context?.branchId); Add requireTenantId() helper",1
C-8,CRITICAL,Business Logic - Deduplication,Deduplication Bypassed by Tenant Isolation Issue,backend/src/repositories/invoiceRuntimeRepository.js,varies,"When combined with C-1 (tenant isolation bypass), deduplication is bypassed across tenants. Attacker uploads same PDF to multiple tenants","Secondary to C-1. Both tenants' records corrupted; duplicate invoices in system; financial data integrity violated; audit trail poisoned","This is a secondary effect of C-1. Fixing C-1 resolves this issue automatically. Ensure dedup hash check includes tenant_id in query",inherited from C-1
H-1,HIGH,Authorization - RBAC,Missing Role-Based Access Control Enforcement,backend/src/services/invoicesService.js,varies,"No validation that users have correct role to perform actions. Any authenticated user can call any endpoint (REVIEWER-only, POSTING_OPERATOR-only, etc.)","Reviewers can post invoices (bypassing approval); Posting operators can modify extracted data; Audit operators can approve/reject invoices; role isolation broken","Implement requireRole() helper in all service methods: requireRole(context, ['REVIEWER', 'SUPER_ADMIN']); Throw 403 if role insufficient",4
H-2,HIGH,Input Validation,Unvalidated N8N Webhook Payloads,backend/src/controllers/invoicesController.js,extraction endpoints,"N8N sends extraction results (extracted fields, confidence scores) with no schema validation. Backend accepts any structure","Data quality degradation; Invalid field names cause DB errors; Null values corrupt data; XSS payloads injected; Analytics poisoned if rendered unsanitized","Add payload schema validation: const schema = z.object({ extractedFields: z.record(z.string()), confidence: z.number().min(0).max(1) }); const validated = schema.parse(req.body)",3
H-3,HIGH,Security - XSS,localStorage XSS Vulnerability,frontend/src/auth/AuthContext.jsx,10/18/22,"JWT token stored in localStorage without httpOnly flag. If XSS payload injected, attacker steals token via JavaScript and impersonates user","Account takeover; attacker gains access to all tenants user can access; session hijacking; data breach","Use httpOnly cookies instead (backend sets; JS cannot access); OR implement token-in-URL encryption; OR use separate session storage + refresh token pattern",6
H-4,HIGH,Input Validation - DoS,Missing Input Validation on Query Parameters,backend/src/services/invoicesService.js,dashboard/list methods,"Query parameters accepted without validation. Attacker can request limit=999999999 or sortBy with SQL injection patterns","Denial of service; database performance degradation; memory exhaustion; potential SQL injection if string interpolated","Validate all query params: const limit = Math.min(Number(query.limit)||20, 1000); Validate sortBy against whitelist; Escape search terms",3
H-5,HIGH,Functionality - Incomplete Implementation,Missing Invoice Action Button Handlers,frontend/src/pages/InvoicesPage.jsx,207-212,"Buttons (View, Review, Retry Extraction, Open Audit) have no onClick handlers. Users cannot interact with invoices","Feature broken; users cannot view details, retry extractions, or audit logs; app unusable for core workflows","Add onClick handlers to each button: View -> navigate to details; Review -> navigate to review queue; Retry -> call retryExtraction API; Audit -> navigate to audit-log filtered by invoice",2
H-6,HIGH,React - State Management,Uncontrolled Form Inputs in Filter Row,frontend/src/pages/InvoicesPage.jsx,133-142,"Tenant and branch filters use defaultValue instead of value/onChange. Filter changes are ignored; state not updated","User cannot filter by tenant/branch; filter changes ignored; confusion and poor UX; feature broken","Convert to controlled inputs: [selectedTenant, setSelectedTenant] state; <select value={selectedTenant} onChange={(e) => setSelectedTenant(e.target.value)}>",2
H-7,HIGH,Authorization - UI,No Role-Based Access Control on Frontend Routes,frontend/src/App.jsx,varies,"Protected routes check only if user logged in; no role validation. Users can navigate to /review-queue even if POSTING_OPERATOR","UI mismatch with backend; users attempt operations backend rejects; poor UX; unauthorized access to pages","Implement RoleBasedRoute component: if (!allowedRoles.includes(user.role)) return <Navigate to='/dashboard' />; Use for all protected pages",2
H-8,HIGH,Authentication - Token Refresh,Missing Token Refresh / Expiration Handling,frontend/src/auth/AuthContext.jsx,varies,"JWT token stored with no refresh logic. Token expiration not handled. After token expires, API calls silently fail; no re-auth prompt","Silent failures; user frustration; potential data loss if form submitted after token expiry; app becomes unusable after 8 hours","Implement token refresh endpoint and retry logic. Add 401 interceptor; refresh token and retry request. Show re-auth prompt on 401 after refresh fails",4
H-9,HIGH,Business Logic - State Machine,Missing Invoice Status State Machine Validation,backend/src/services/invoicesService.js,varies,"Invalid transitions allowed: POSTED->EXTRACTING, REJECTED->APPROVED, PENDING_REVIEW->UPLOADED. No validation of status transitions","Data integrity violation; invoices in impossible states; audit trail corrupted; reporting broken; financial records inconsistent","Implement state machine validation: define validTransitions map; check current status allows new status before transition; throw 409 INVALID_STATUS_TRANSITION if invalid",5
H-10,HIGH,Security - Webhook Auth,Missing Signature Validation on N8N Webhooks,backend/src/routes/invoices.js,extraction endpoints,"No HMAC signature validation to confirm webhook from actual N8N instance. Attacker can POST forged extraction results from any IP","Complete extraction bypass; fake data injected into financial records; audit trail forged; financial statements corrupted","Add HMAC signature validation in middleware: compute hmac signature of body; compare with x-n8n-signature header; reject if mismatch",3
H-11,HIGH,Code Quality - Data Pollution,Hardcoded Mock Data in Production Service,backend/src/services/invoicesService.js,12-78,"dashboard() returns hardcoded dashboardData instead of querying database. Production dashboards show test data, not real metrics","Misleading business metrics; management decisions based on wrong data; test data visible to end users; no indication of errors","Move hardcoded data to separate mock module. In production, query real database. Return empty/default if no data configured. Never return fake metrics",2
H-12,HIGH,Concurrency - Race Condition,Race Condition in Concurrent Invoice Updates,backend/src/repositories/invoiceRuntimeRepository.js,varies,"No optimistic locking or version checks. Two concurrent requests can skip status machine states (e.g., UPLOADED->POSTED, skipping REVIEW)","Status machine violated; financial data loss; inconsistent audit trail; reports show wrong state; GL posting without review","Implement optimistic locking: add version column to invoices; UPDATE checks version; throw 409 if stale; client retries with new version",5
H-13,HIGH,DoS Protection - Rate Limiting,Missing Rate Limiting on File Uploads,backend/src/routes/invoices.js + uploadMiddleware.js,varies,"No rate limiting on /invoices/bulk-upload. Attacker can upload unlimited files causing disk exhaustion and server crash","Denial of service; disk space exhausted; application crash; system unavailable; data loss during recovery","Add express-rate-limit middleware: 10 uploads per minute per tenant; Return 429 Too Many Requests when exceeded",2
H-14,HIGH,Security - Info Disclosure,No Error Details Leakage Prevention,backend/src/middleware/errorHandler.js,varies,"Error messages returned to client contain sensitive system info (table names, file paths, database errors). Helps attackers craft targeted attacks","Information disclosure; attackers learn system architecture; helps craft targeted attacks; security intelligence leaked","Sanitize error messages: return generic 'Internal server error' for 5xx; generic message for unknown 4xx; keep details in server logs only",2
H-15,HIGH,Data Validation,Unvalidated DocumentType Enum,backend/src/services/invoicesService.js,550-565,"documentType param accepted without validation against enum. Could be 'INVALID_TYPE', causing DB errors or silent data issues","Invalid data in DB; filtering/reporting broken; audit trail confusion; constraint violations","Add validation: const VALID_TYPES = new Set(['PURCHASE_INVOICE','SALES_INVOICE','AUTO']); if (!VALID_TYPES.has(documentType)) throw error",1
H-16,HIGH,DoS - Pagination,Missing Pagination Bounds Check,backend/src/repositories/invoiceReadRepository.js,varies,"limit not capped: query with limit=10000000 causes memory exhaustion. offset not validated (could be negative). No max rows protection","Memory exhaustion; slow queries; DoS; database becomes unresponsive; application hang","Cap limit: Math.min(Math.max(Number(query.limit)||20, 1), 1000); Validate offset >= 0; Apply to all list queries",1
H-17,HIGH,Security - Secret Management,Hardcoded Workflow Key in N8N and Global Fallback Risk,backend/n8n/workflows/TenantWiseN8n-new.json + backend/src/services/invoicesService.js + backend/src/middleware/authGuard.js,varies,"N8N workflow used hardcoded x-workflow-key values and backend accepted/fell back to shared/global key patterns. This weakens tenant isolation and allows cross-tenant trust confusion if keys are reused","Cross-tenant security boundary erosion; difficult key rotation; potential unauthorized workflow-to-API calls when shared key leaks","Use tenant-specific workflow_key_token only. Remove hardcoded keys from workflow nodes and propagate incoming webhook key dynamically. Reject workflow-key auth when tenant key is missing or mismatched. Do not use global fallback key for tenant workflows",2
H-18,HIGH,Orchestration - Posting Trigger,Approval Did Not Dispatch Tenant Posting Webhook,backend/src/services/invoicesService.js,930-1020,"Invoice approval moved status to APPROVED but never triggered tenant-configured posting webhook. Result: n8n posting workflow never started even when postingWebhookPlaceholder was configured","Approved invoices stuck before posting automation; operators had to manually trigger workflow; inconsistent state between UI and orchestration","Dispatch posting webhook in approve path using tenant n8n config (n8nBaseUrl + postingWebhookPlaceholder + workflowKeyToken) with invoiceId/tenantId/branchId payload and workflow-key headers",3
H-19,HIGH,Workflow Design - Runtime Contract,Extraction/Approval Flow Used Legacy Register Path and Missing Approval Runtime Context,backend/n8n/workflows/TenantWiseN8n-new.json,varies,"Workflow still referenced legacy register branch and placeholder paths, and approval flow did not fetch backend runtime-context before downstream steps","n8n could diverge from backend source-of-truth; tenant-aware runtime paths and lifecycle callbacks became brittle; troubleshooting was difficult","Start extraction/posting flows with runtime-context fetch, disable legacy register branch in active graph, add extraction started/retry/failed lifecycle callbacks, and keep posting lifecycle callbacks on canonical backend endpoints",4
H-20,HIGH,Workflow Integration - Posting Callback Contract,Posting Branch Used Wrong Activity Method and Missed Canonical Posting Result/Failed Callbacks,backend/n8n/workflows/TenantWiseN8n-new.json,varies,"Posting branch activity node used default GET (not POST), and workflow did not route real posting outcome to /invoices/:id/posting-result or /invoices/:id/posting-failed. Some nodes still targeted /posting-started.","Posting flow could terminate before Tally execution or leave invoices stuck in POSTING; UI and backend lifecycle drift; unreliable automation telemetry","Set activity callbacks to POST with workflow auth headers, switch posting step to /posting-executor, and route success/failure to canonical posting-result/posting-failed endpoints with parsed Tally summary metadata",3
M-1,MEDIUM,Code Quality - Documentation,No API Documentation (OpenAPI/Swagger),backend/src/routes/*,varies,"Missing endpoint specs, request/response schemas. Developers unclear on payload format. Integration partners cannot self-serve API","No API contract; integration harder; team confusion on endpoints; increases support burden; API changes break clients unaware","Create OpenAPI 3.0 spec or Swagger documentation. Document all endpoints with request/response schemas, error codes, examples. Host on /api-docs",6
M-2,MEDIUM,React - Hooks,Missing React Hook Dependencies,frontend/src/pages/*,varies,"useEffect and useMemo missing dependency arrays. Stale closures in callbacks. Example: loadInvoices not in useEffect dependencies","Stale state references; infinite loops possible; unexpected re-renders; memory leaks from old closures","Add dependency arrays to all hooks: useEffect(..., [deps]); useMemo(..., [deps]). Run ESLint plugin exhaustive-deps to catch all",3
M-3,MEDIUM,Code Quality - Type Safety,No TypeScript Implementation,frontend/src/**/* + backend/src/**/*,all files,"JavaScript-only codebase lacks type checking. Refactoring extremely risky. No compile-time validation of errors. High maintenance burden","High refactoring risk; silent type errors at runtime; developer safety reduced; IDE support limited; onboarding slower","Migrate to TypeScript gradually: add tsconfig.json; convert critical services first; use ts-loader/esbuild. Or add comprehensive JSDoc types",40
M-4,MEDIUM,Data Persistence,Invoice Rules Field Never Persisted,frontend + backend,varies,"Rules field in UI form has no backend save endpoint. User can edit rules but changes are lost on page refresh. Database stores only defaults","User cannot configure business rules; Settings page appears broken; rules always default; customization lost","Add PUT /api/tenants/:tenantId/rules endpoint in backend. Save to tenant_rules table or tenant.rules column. Call from frontend on Save",4
M-5,MEDIUM,Business Logic - Partial Updates,Branch Edit Form Not Properly Updating Existing Branches,backend/src/services/superAdminTenantService.js,390-410,"Edit mode replaces ALL branches via replaceBranches (delete+insert). Should support partial UPDATES to preserve metadata like creation timestamps","History and audit timestamps lost; existing branch metadata deleted; can't edit branch details without replacing all","Implement branch PATCH endpoint: UPDATE branches SET name=?, code=?, ... WHERE id=? AND tenant_id=?. Only update changed fields",3
M-6,MEDIUM,Data Validation - Coercion,Tally Config Port Coercion Bug,backend/src/services/superAdminTenantService.js,170-180,"Number('') = 0 not null. Empty port string silently becomes 0, which is invalid. Should reject empty port values","Tally connection uses invalid port 0; connections fail silently; posting broken; GL integration offline","Use parseInt(value, 10); check for NaN/0; require minimum port 1024; validate port in range 1-65535",1
M-7,MEDIUM,Infrastructure - Graceful Shutdown,No Graceful Shutdown on Process Signals,backend/src/server.js,varies,"server.js closes DB pool on SIGINT/SIGTERM but doesn't wait for in-flight requests to complete. Could lose N8N webhook confirmations","N8N webhooks may not be acknowledged; extraction status left in EXTRACTING; data inconsistency on restart","Implement graceful shutdown: set isShuttingDown=true; stop accepting new requests; wait for in-flight to complete (with timeout); then close pool",3
M-8,MEDIUM,Code Quality - Consistency,Invoice Extraction Status Not Properly Modeled,backend/src/services/*,varies,"extraction_status_enum exists in DB but not used consistently in code. Some services check status strings; others use enum. Risk of typo bugs","Typo bugs possible (RETRYABLE vs RETRYEABLE); inconsistent status values; business logic divergence between services; bugs in missing enum checks","Create extraction status constants in utility module; import and use consistently everywhere. Add ESLint rule to reject string literals for status",2
M-9,MEDIUM,Testing - Architecture,Missing Dependency Injection Pattern,backend/src/**/*,all services,"Hard imports of repositories in services. No DI container. Testing requires mocking filesystem and db modules. No test fixtures or test doubles possible","Unit testing very difficult; mocking cumbersome; integration tests required for everything; slow test suite; high test cost","Implement simple DI: pass dependencies as constructor params: new InvoiceService(repo, storage, n8n). Or use small DI container like awilix",8
M-10,MEDIUM,Concurrency - Locking,Concurrent POST /extraction-result Requests,backend/src/repositories/invoiceExtractionRepository.js,varies,"If same invoice receives 2 extraction results simultaneously, no transaction isolation. Both may succeed, creating duplicate extraction records","Duplicate extraction records; field values overwritten; audit trail confused; reporting shows wrong extraction result; data inconsistency","Use database advisory lock or FOR UPDATE row lock: BEGIN; SELECT * FROM invoices WHERE id=? FOR UPDATE; UPDATE results; COMMIT",3
M-11,MEDIUM,Architecture - Incomplete,File Storage Abstraction Incomplete,backend/src/services/storageService.js,varies,"storageService supports LOCAL and CLOUD modes. Only LOCAL (filesystem) implemented. S3/Azure/GCS modes accepted but ignored in code","Cloud storage never used; config misleads operators into thinking S3 works; no multi-region support; limited scalability; vendor lock-in to local FS","Implement cloud storage adapters: create S3Adapter, AzureAdapter, GCSAdapter classes; make storageService factory-based; use interface pattern",16
M-12,MEDIUM,Observability - Audit Logging,Missing Invoice Approval/Rejection Details in Audit Log,backend/src/services/reviewService.js,varies,"Audit log only records action (APPROVE/REJECT), not reason. Reviewer comments not stored. Cannot track why invoice was rejected","Cannot audit-trail rejection reasons; management cannot understand decision patterns; no feedback loop for corrections; disabled compliance audit","Add reviewer_comment and approval_reason fields to approvals table. Store comment text. Query for audit analysis. Enable decision tracking",4
M-13,MEDIUM,Data Integrity - Cascading,Missing Invoice Deletion Cascade,backend/sql/migrations/*,varies,"Deleting a tenant doesn't cascade-delete invoices. Foreign key constraint will reject. Manual cleanup required or error thrown","Orphaned invoice records in DB; deletion fails; manual intervention needed; data cleanup complex; schema constraint prevents recovery","Add ON DELETE CASCADE to all child table foreign keys: ALTER TABLE invoices DROP CONSTRAINT fk_invoices_tenant; ADD CONSTRAINT fk_invoices_tenant FOREIGN KEY (...) REFERENCES tenants (...) ON DELETE CASCADE",2
M-14,MEDIUM,Database - Performance,No Transaction Timeout Settings,backend/src/db/pool.js,varies,"Long-running transactions can hold locks indefinitely. No timeout configured in PostgreSQL. Can starve other queries for resources","Long-running queries lock tables; other users blocked; application grinds to halt; deadlock scenarios; resource starvation","Set statement_timeout in PostgreSQL: ALTER ROLE app SET statement_timeout = '30s'; Implement query timeout in connection pool options",1
M-15,MEDIUM,Onboarding - Operational Readiness,Missing Pre-Save Connectivity Diagnostics for Storage/n8n/Tally,frontend/src/pages/SuperAdminTenantOnboardingPage.jsx + frontend/src/api/tenantService.js + backend/src/services/superAdminTenantService.js,varies,"Tenant onboarding previously allowed save without explicit end-to-end connectivity checks, so broken storage paths, n8n reachability, or Tally host issues were detected only at runtime.","Delayed failure detection; repeated upload/posting failures in production; poor root-cause visibility during onboarding","Add connectivity-test endpoint and onboarding UI step that validates storage write/read probe, n8n reachability, and Tally probe with definitive error codes/messages; block save when checks fail",4
L-1,LOW,UX - Sidebar Navigation,Sidebar Footer Logout Button Positioning,frontend/src/styles/theme.css + components/Sidebar.jsx,85/91/footer,"Logout button adds extra footer border element. Better UX: add as last menu item position. Cosmetic but affects visual consistency","Cosmetic issue; minor UX imbalance; not a functional defect","Move logout button into main sidebar-nav as last item. Remove separate footer div. Style as menu item with divider above",1
L-2,LOW,Testing - Mock Auth,Mock Auth in Development Hardcoded,frontend/src/mockAuth.js,varies,"mockAuth.js hardcodes test users. No easy way to test different roles. Should accept role parameter for testing all role paths","Developers can't easily test different role flows; must modify code to test REVIEWER vs POSTING_OPERATOR paths","Create mockAuth with role+email parameters. Or read from env var TEST_USER_ROLE. Allow role switching in dev UI",1
L-3,LOW,UX - Loading States,Missing Loading States on Slow API Calls,frontend/src/pages/*,varies,"Dashboard metrics page shows no spinner while loading. User thinks page is frozen; no visual feedback","Confusion; looks broken; poor perceived performance; users think app crashed","Add skeleton loaders or spinner component. Show during API calls. Display estimated load time if > 2 seconds",2
L-4,LOW,UX - Empty State,No Invoice Empty State Icon or Illustration,frontend/src/pages/InvoicesPage.jsx,varies,"'No invoices found' text only. Could benefit from icon/illustration. Improves UX clarity and reduces perceived emptiness","Minor UX gap; looks less polished; empty states feel bare","Add SVG illustration or icon for empty state. Improves visual hierarchy and UX feel",1
L-5,LOW,UX - Accessibility,No Dark Mode Support,frontend/src/styles/theme.css,all,"CSS uses hardcoded light colors. No high-contrast mode. Accessibility gap for low-vision users. Modern apps expect dark mode","No dark mode option; accessibility gap; modern expectations not met; some users may avoid app","Add CSS custom property theme switch. Create dark color palette. Toggle via button or system preference detection",3
